Name,GID,Source,Xa4,xa5,Xa7,xa13,Xa21,Pita,Pi9,Pi54,Pi35(t)
IR 106449-B-B RGA-B RGA-B RGA-157,300292112,IRRI,,S,,S,R,R,S,S,
IR 106436-B-B RGA-B RGA-B RGA-413,300291848,IRRI,,R,,S,S,R,S,S,
GVT2-1-2-3-4-5-1,4812685,IRRI,,S,,S,S,R,S,S,
IR 106436-B-B RGA-B RGA-B RGA-199,300291634,IRRI,,R,,S,S,R,S,S,
IR 103310-B-B RGA-B RGA-16,300287823,IRRI,,R,,S,S,R,S,S,
IR16A3353,4815581,IRRI,,S,,S,S,S,S,S,
IR 106441-B-B-B-B-8,300233404,IRRI,,S,,S,S,R,S,S,
IR 106449-B-B RGA-B RGA-B RGA-233,300292188,IRRI,,S,,S,S,R,S,S,
IR15A3938,300253713,IRRI,,S,,S,S,R,S,S,
IR 103309-B-B RGA-B RGA-440,300287690,IRRI,,R,,S,R,R,S,S,
EL-2,4812854,IRRI,,R,,S,S,R,S,S,
IR 106224-B-B-B-B-12,300233713,IRRI,,S,,S,S,S,S,S,
IR 106438-B-B-B-B-17,300233357,IRRI,,S,,S,S,S,S,S,
IR 103291-B-B-B-B-B-31,300233604,IRRI,,S,,S,S,R,S,S,
PKEL-98,4812549,IRRI,,,,S,,R,S,S,
IR 103309-B-B RGA-B RGA-401,300287651,IRRI,,R,,S,R,R,S,S,
IR 106436-B-B RGA-B RGA-B RGA-301,300291736,IRRI,,R,,S,S,R,S,S,
EL-12,4812856,IRRI,,S,,S,S,R,S,S,
IR 103733-B-B-B-B-33,300233130,IRRI,,R,,S,S,R,S,S,
PKEL-2,4812865,IRRI,,S,,S,S,R,S,S,
IR15A1532,4392060,IRRI,,S,,S,S,R,S,S,
IR 103309-B-B RGA-B RGA-138,300287388,IRRI,,R,,S,S,R,S,S,
IR15A3944,300252395,IRRI,,S,,S,S,S,S,S,
IR 103740-B-B RGA-B RGA-372,300295610,IRRI,,S,,S,S,S,S,S,
IR 100171-B-B RGA-B RGA-B RGA-B RGA-11,300286533,IRRI,,R,,S,S,S,S,R,
IR 103291-B-B-B-B-B-51,300233624,IRRI,,R,,S,S,R,S,S,
IR 103309-B-B RGA-B RGA-539,300287789,IRRI,,R,,S,S,R,S,S,
IR 104006:4-19-B RGA-B RGA-6,300289316,IRRI,,S,,S,S,S,S,S,
IR 103310-B-B RGA-B RGA-11,300287818,IRRI,,R,,S,S,R,S,S,
PKEL-104,4812550,IRRI,,S,,S,,R,S,S,
IR 103718-B-B RGA-B RGA-B RGA-B RGA-87,300288917,IRRI,,,,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 99,4789073,IRRI,R,S,S,S,S,R,S,S,
IR 108000-B-40-3-2-1,300607972,IRRI,R,S,S,S,,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 197,4789171,IRRI,R,S,S,S,R,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 201,4789175,IRRI,R,S,S,S,R,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 127,4789101,IRRI,R,S,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 80,4789054,IRRI,R,S,S,S,R,S,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 181,4789155,IRRI,R,R,S,S,R,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 17,4788991,IRRI,R,S,S,S,S,S,S,S,
IR 108000-B-39-3-1-1,300607968,IRRI,R,S,S,S,S,R,S,S,
